"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000010295",1569.75425761321,-5.65282813829477e-06,0.00144257681349605,0.548920997490172,0.801694099750048
"ENSG00000010310",11.7014772166685,1.0280492077377e-06,0.00144267493807079,0.788094780093129,0.923203826944279
"ENSG00000010318",160.619292652212,5.33232005962856e-06,0.0014426206268796,0.481579761829326,0.758589312993897
"ENSG00000010319",2217.0012009565,6.37517230953249e-06,0.00144269388904329,0.0117472501878076,0.124645161516557
"ENSG00000010322",4283.24213303871,-1.25026773216425e-05,0.00144266831087,0.0450567615456368,0.24176495835433
"ENSG00000010327",21627.4559223214,1.20378429573471e-06,0.00144261567958012,0.875216173997287,0.955396285087453
"ENSG00000010361",183.035529772408,7.10127209264885e-06,0.00144259315471007,0.42741356698836,0.721715959748218
"ENSG00000010379",1.25520307637214,-1.19035968269451e-06,0.0014426932295023,0.325817871671467,NA
"ENSG00000010404",312.210965037873,-1.79182315137216e-05,0.00144267734520468,0.0138924207415972,0.135211133210385
"ENSG00000010438",136.835146642006,-4.48143702214478e-06,0.00144269263828343,0.0326044193430972,0.206001583335372
"ENSG00000010539",418.396995499719,8.10839525788636e-06,0.00144245114802332,0.550773736199856,0.802760728382296
"ENSG00000010610",27.5627512722388,-5.9698315727925e-06,0.00144270048356067,0.000651231933362025,0.0323990231538673
"ENSG00000010626",64.6149816074015,-1.37459645543967e-06,0.00144265508228573,0.500864864486143,0.772015531565519
"ENSG00000010671",18.5090986439321,-0.901210681216737,0.19519390411159,0.823518099179901,0.937027134929373
"ENSG00000010704",273.934091205608,-9.75325653062e-06,0.001442662960502,0.0994953200170555,0.357315118589531
"ENSG00000010803",1163.15686345529,-1.48415759571545e-05,0.0014422889569418,0.406635858486374,0.708674066672426
